,StaticClassifierStates,HmmStates,target
324,StairClimbing,Walking,Walking
325,Walking,Walking,Walking
326,Standing,Standing,Walking
327,Standing,Standing,Walking
328,Standing,Standing,Walking
329,Standing,Standing,Walking
330,Standing,Standing,Walking
331,Standing,Standing,Standing
332,Standing,Standing,Standing
333,Standing,Standing,Standing
334,Standing,Standing,Standing
335,Standing,Standing,Standing
336,Standing,Standing,Standing
337,Standing,Standing,Standing
338,Standing,Standing,Standing
339,Standing,Standing,Standing
340,Standing,Standing,Standing
341,Standing,Standing,Standing
342,Standing,Standing,Standing
343,Standing,Standing,Standing
344,Standing,Standing,Standing
345,Standing,Standing,Standing
346,Standing,Standing,Standing
347,Standing,Standing,Standing
348,Standing,Standing,Standing
349,Standing,Standing,Standing
350,Standing,Standing,Standing
351,Standing,Standing,Standing
352,Standing,Standing,Standing
353,Lying,Lying,Lying
354,Lying,Lying,Lying
355,Lying,Lying,Lying
356,Lying,Lying,Lying
357,Lying,Lying,Lying
358,Lying,Lying,Lying
359,Lying,Lying,Lying
360,Lying,Lying,Lying
361,Lying,Lying,Lying
362,Lying,Lying,Lying
363,Lying,Lying,Lying
364,Lying,Lying,Lying
365,Lying,Lying,Lying
366,Lying,Lying,Lying
367,Lying,Lying,Lying
368,Lying,Lying,Lying
369,Lying,Lying,Lying
370,Lying,Lying,Lying
371,Lying,Lying,Lying
372,Lying,Lying,Lying
373,Lying,Lying,Lying
374,Lying,Lying,Lying
375,Lying,Lying,Lying
376,Lying,Lying,Lying
377,Lying,Lying,Lying
378,Lying,Lying,Lying
379,Lying,Lying,Lying
380,Lying,Lying,Lying
381,Lying,Lying,Lying
382,Lying,Lying,Lying
383,Lying,Lying,Lying
384,Lying,Lying,Lying
385,Lying,Lying,Lying
386,Lying,Lying,Lying
387,Lying,Lying,Lying
388,Lying,Lying,Lying
389,Lying,Lying,Lying
390,Lying,Lying,Lying
391,Lying,Lying,Lying
392,Lying,Lying,Lying
393,Lying,Lying,Lying
394,Lying,Lying,Lying
395,Lying,Lying,Lying
396,Lying,Lying,Lying
397,Wheeling,Wheeling,Wheeling
398,Wheeling,Wheeling,Wheeling
399,Wheeling,Wheeling,Wheeling
400,Wheeling,Wheeling,Wheeling
401,Wheeling,Wheeling,Wheeling
402,Wheeling,Wheeling,Wheeling
403,Wheeling,Wheeling,Wheeling
404,Wheeling,Wheeling,Wheeling
405,Wheeling,Wheeling,Wheeling
406,Wheeling,Wheeling,Wheeling
407,Wheeling,Wheeling,Wheeling
408,Wheeling,Wheeling,Wheeling
409,Wheeling,Wheeling,Wheeling
410,Wheeling,Wheeling,Wheeling
411,Wheeling,Wheeling,Wheeling
412,Wheeling,Wheeling,Wheeling
413,Wheeling,Wheeling,Wheeling
414,Wheeling,Wheeling,Wheeling
415,Wheeling,Wheeling,Wheeling
416,Wheeling,Wheeling,Wheeling
417,Wheeling,Wheeling,Wheeling
418,Wheeling,Wheeling,Wheeling
419,Wheeling,Wheeling,Wheeling
420,Wheeling,Wheeling,Wheeling
421,Wheeling,Wheeling,Wheeling
422,Wheeling,Wheeling,Wheeling
423,Wheeling,Wheeling,Wheeling
424,Wheeling,Wheeling,Wheeling
425,Wheeling,Wheeling,Wheeling
426,Wheeling,Wheeling,Wheeling
427,Wheeling,Wheeling,Wheeling
428,Wheeling,Wheeling,Wheeling
429,Wheeling,Wheeling,Wheeling
430,Wheeling,Wheeling,Wheeling
